StockKeyLabel,ICES_Area
whb.27.1-91214,27.8.b
whg.27.89a,27.8.b
ldb.27.7b-k8abd,27.8.b
ctl.27.8a-d,27.8.b
sqz.27.8a-d,27.8.b
omz.27.8a-d,27.8.b
oct.27.8abd,27.8.b
pil.27.8abd,27.8.b
ank.27.78abd,27.8.b
mon.27.78abd,27.8.b
sqr.27.nea,27.8.b
pok.27.7-10,27.8.b
lin.27.346-91214,27.8.b
rjc.27.8abd,27.8.b
hom.27.2a3a4a5b6a7a-ce-k8,27.8.b
agn-nea,27.8.a
alf-comb,27.8.a
ane-bisc,27.8.a
ang-78ab,27.8.a
arg-comb,27.8.a
arg-oth,27.8.a
bli-comb,27.8.a
bli-oth,27.8.a
bsh-nea,27.8.a
boc-nea,27.8.a
bsf-89,27.8.a
bsf-comb,27.8.a
bsk-nea,27.8.a
bss-comb,27.8.a
cyo-nea,27.8.a
czs-comb,27.8.a
dgs-nea,27.8.a
ele-nea,27.8.a
gag-nea,27.8.a
gfb-comb,27.8.a
gug-89a,27.8.a
gug-comb,27.8.a
guq-nea,27.8.a
hke-nrtn,27.8.a
hom-west,27.8.a
lin-comb,27.8.a
lin-oth,27.8.a
mac-nea,27.8.a
mgw-78,27.8.a
mut-comb,27.8.a
mut-west,27.8.a
nep-2324,27.8.a
ory-comb,27.8.a
ple-89a,27.8.a
pol-89a,27.8.a
por-nea,27.8.a
raj-89a,27.8.a
rjb-89a,27.8.a
rjc-bisc,27.8.a
rjm-bisc,27.8.a
rjn-bisc,27.8.a
rng-comb,27.8.a
rng-oth,27.8.a
sal-nea,27.8.a
sar-78,27.8.a
sbr-678,27.8.a
sbr-comb,27.8.a
sck-nea,27.8.a
sma-nea,27.8.a
skx-89a,27.8.a
sol-bisc,27.8.a
syc-bisc,27.8.a
trk-nea,27.8.a
usk-oth,27.8.a
whb-comb,27.8.a
whg-89a,27.8.a
bss-8ab,27.8.a
mur-west,27.8.a
anb-78ab,27.8.a
anp-78ab,27.8.a
nep-8ab,27.8.a
whb-comb-alt,27.8.a
usk-comb,27.8.a
rju-8ab,27.8.a
sho-89a,27.8.a
rja-nea,27.8.a
gur-comb,27.8.a
bsf-nea,27.8.a
rjn-678abd,27.8.a
qsc-nea,27.8.a
scx-nea,27.8.a
rsg-nea,27.8.a
rhg-nea,27.8.a
arg-rest,27.8.a
tsu-nea,27.8.a
agn.27.nea,27.8.a
alf.27.nea,27.8.a
ank.27.78ab,27.8.a
ane.27.8,27.8.a
mon.27.78ab,27.8.a
aru.27.6b7-1012,27.8.a
bli.27.nea,27.8.a
boc.27.6-8,27.8.a
bsf.27.nea,27.8.a
bsk.27.nea,27.8.a
bss.27.8ab,27.8.a
cyo.27.nea,27.8.a
dgs.27.nea,27.8.a
gag.27.nea,27.8.a
gfb.27.nea,27.8.a
guq.27.nea,27.8.a
gur.27.3-8,27.8.a
hke.27.3a46-8abd,27.8.a
hom.27.2a4a5b6a7a-ce-k8,27.8.a
lin.27.3a4a6-91214,27.8.a
mac.27.nea,27.8.a
meg.27.7b-k8abd,27.8.a
mur.27.67a-ce-k89a,27.8.a
nep.fu.2324,27.8.a
ory.27.nea,27.8.a
ple.27.89a,27.8.a
pol.27.89a,27.8.a
por.27.nea,27.8.a
raj.27.89a,27.8.a
rhg.27.nea,27.8.a
rja.27.nea,27.8.a
rjb.27.89a,27.8.a
rjc.27.8,27.8.a
rjm.27.8,27.8.a
rjn.27.678abd,27.8.a
rju.27.8ab,27.8.a
rng.27.1245a8914ab,27.8.a
pil.27.78abd,27.8.a
sbr.27.6-8,27.8.a
sck.27.nea,27.8.a
sho.27.89a,27.8.a
sol.27.8ab,27.8.a
syc.27.8abd,27.8.a
sdv.27.nea,27.8.a
tsu.27.nea,27.8.a
usk.27.3a45b6a7-912b,27.8.a
whb.27.1-91214,27.8.a
whg.27.89a,27.8.a
ldb.27.7b-k8abd,27.8.a
ctl.27.8a-d,27.8.a
sqz.27.8a-d,27.8.a
omz.27.8a-d,27.8.a
oct.27.8abd,27.8.a
pil.27.8abd,27.8.a
ank.27.78abd,27.8.a
mon.27.78abd,27.8.a
sqr.27.nea,27.8.a
pok.27.7-10,27.8.a
lin.27.346-91214,27.8.a
rjc.27.8abd,27.8.a
hom.27.2a3a4a5b6a7a-ce-k8,27.8.a
pok.27.7-10,27.8.d
lin.27.346-91214,27.8.d
agn-nea,27.8.d.1
alf-comb,27.8.d.1
ane-bisc,27.8.d.1
ang-78ab,27.8.d.1
arg-comb,27.8.d.1
arg-oth,27.8.d.1
bli-comb,27.8.d.1
bli-oth,27.8.d.1
bsh-nea,27.8.d.1
boc-nea,27.8.d.1
bsf-89,27.8.d.1
bsf-comb,27.8.d.1
bsk-nea,27.8.d.1
bss-comb,27.8.d.1
cyo-nea,27.8.d.1
czs-comb,27.8.d.1
dgs-nea,27.8.d.1
ele-nea,27.8.d.1
gag-nea,27.8.d.1
gfb-comb,27.8.d.1
gug-89a,27.8.d.1
gug-comb,27.8.d.1
guq-nea,27.8.d.1
hke-nrtn,27.8.d.1
hom-west,27.8.d.1
lin-comb,27.8.d.1
lin-oth,27.8.d.1
mac-nea,27.8.d.1
mgw-78,27.8.d.1
mut-comb,27.8.d.1
mut-west,27.8.d.1
ory-comb,27.8.d.1
ple-89a,27.8.d.1
pol-89a,27.8.d.1
por-nea,27.8.d.1
raj-89a,27.8.d.1
rjb-89a,27.8.d.1
rjc-bisc,27.8.d.1
rjm-bisc,27.8.d.1
rjn-bisc,27.8.d.1
rng-comb,27.8.d.1
rng-oth,27.8.d.1
sal-nea,27.8.d.1
sar-78,27.8.d.1
sbr-678,27.8.d.1
sbr-comb,27.8.d.1
sck-nea,27.8.d.1
sma-nea,27.8.d.1
skx-89a,27.8.d.1
syc-bisc,27.8.d.1
trk-nea,27.8.d.1
usk-oth,27.8.d.1
whb-comb,27.8.d.1
whg-89a,27.8.d.1
mur-west,27.8.d.1
anb-78ab,27.8.d.1
anp-78ab,27.8.d.1
whb-comb-alt,27.8.d.1
usk-comb,27.8.d.1
sho-89a,27.8.d.1
rja-nea,27.8.d.1
gur-comb,27.8.d.1
bsf-nea,27.8.d.1
rjn-678abd,27.8.d.1
qsc-nea,27.8.d.1
scx-nea,27.8.d.1
thr-nea,27.8.d.1
rsg-nea,27.8.d.1
rhg-nea,27.8.d.1
arg-rest,27.8.d.1
tsu-nea,27.8.d.1
agn.27.nea,27.8.d.1
alf.27.nea,27.8.d.1
ank.27.78ab,27.8.d.1
ane.27.8,27.8.d.1
mon.27.78ab,27.8.d.1
aru.27.6b7-1012,27.8.d.1
bli.27.nea,27.8.d.1
boc.27.6-8,27.8.d.1
bsf.27.nea,27.8.d.1
bsk.27.nea,27.8.d.1
cyo.27.nea,27.8.d.1
dgs.27.nea,27.8.d.1
gag.27.nea,27.8.d.1
gfb.27.nea,27.8.d.1
guq.27.nea,27.8.d.1
gur.27.3-8,27.8.d.1
hke.27.3a46-8abd,27.8.d.1
hom.27.2a4a5b6a7a-ce-k8,27.8.d.1
lin.27.3a4a6-91214,27.8.d.1
mac.27.nea,27.8.d.1
meg.27.7b-k8abd,27.8.d.1
mur.27.67a-ce-k89a,27.8.d.1
ory.27.nea,27.8.d.1
ple.27.89a,27.8.d.1
pol.27.89a,27.8.d.1
por.27.nea,27.8.d.1
raj.27.89a,27.8.d.1
rhg.27.nea,27.8.d.1
rja.27.nea,27.8.d.1
rjb.27.89a,27.8.d.1
rjc.27.8,27.8.d.1
rjm.27.8,27.8.d.1
rjn.27.678abd,27.8.d.1
rng.27.1245a8914ab,27.8.d.1
pil.27.78abd,27.8.d.1
sbr.27.6-8,27.8.d.1
sck.27.nea,27.8.d.1
sho.27.89a,27.8.d.1
syc.27.8abd,27.8.d.1
thr.27.nea,27.8.d.1
sdv.27.nea,27.8.d.1
tsu.27.nea,27.8.d.1
usk.27.3a45b6a7-912b,27.8.d.1
whb.27.1-91214,27.8.d.1
whg.27.89a,27.8.d.1
ldb.27.7b-k8abd,27.8.d.1
ctl.27.8a-d,27.8.d.1
sqz.27.8a-d,27.8.d.1
omz.27.8a-d,27.8.d.1
oct.27.8abd,27.8.d.1
pil.27.8abd,27.8.d.1
ank.27.78abd,27.8.d.1
mon.27.78abd,27.8.d.1
sqr.27.nea,27.8.d.1
pok.27.7-10,27.8.d.1
rjc.27.8abd,27.8.d.1
hom.27.2a3a4a5b6a7a-ce-k8,27.8.d.1
agn-nea,27.8.d.2
alf-comb,27.8.d.2
ane-bisc,27.8.d.2
ang-78ab,27.8.d.2
arg-comb,27.8.d.2
arg-oth,27.8.d.2
bli-comb,27.8.d.2
bli-oth,27.8.d.2
bsh-nea,27.8.d.2
boc-nea,27.8.d.2
bsf-89,27.8.d.2
bsf-comb,27.8.d.2
bsk-nea,27.8.d.2
bss-comb,27.8.d.2
cyo-nea,27.8.d.2
czs-comb,27.8.d.2
dgs-nea,27.8.d.2
ele-nea,27.8.d.2
gag-nea,27.8.d.2
gfb-comb,27.8.d.2
gug-89a,27.8.d.2
gug-comb,27.8.d.2
guq-nea,27.8.d.2
hke-nrtn,27.8.d.2
hom-west,27.8.d.2
lin-comb,27.8.d.2
lin-oth,27.8.d.2
mac-nea,27.8.d.2
mgw-78,27.8.d.2
mut-comb,27.8.d.2
mut-west,27.8.d.2
ory-comb,27.8.d.2
ple-89a,27.8.d.2
pol-89a,27.8.d.2
por-nea,27.8.d.2
raj-89a,27.8.d.2
rjb-89a,27.8.d.2
rjc-bisc,27.8.d.2
rjm-bisc,27.8.d.2
rjn-bisc,27.8.d.2
rng-comb,27.8.d.2
rng-oth,27.8.d.2
sal-nea,27.8.d.2
sar-78,27.8.d.2
sbr-678,27.8.d.2
sbr-comb,27.8.d.2
